movie_title,release_year,total_critic_reviews_counted,top_critic_score,critic_score_percentage,total_audience_ratings,domestic_box_office_gross_usd,audience_average_score,international_box_office_gross_usd,marketing_spend_usd,production_budget_usd
Inception,2010,450.0,8.100000381469727,87.0,1500000,292576195,9.1,535700000,100000000,160000000
The Dark Knight,2008,350.0,8.600000381469727,94.0,2200000,533345358,9.4,469700000,150000000,185000000
Parasite,2019,475.0,9.5,99.0,800000,53369749,9.0,,,
dasfdf,2531,464.0,3.5999999046325684,23.0,,,,,,
sadf,2531,464.0,3.5999999046325684,23.0,,,,,,
sadfasfs,2531,464.0,3.5999999046325684,23.0,,,,,,
sadfasdfsadfasdfs,2531,464.0,3.5999999046325684,23.0,,,,,,
as,2531,464.0,3.5999999046325684,23.0,,,,,,
asadfs,2531,464.0,3.5999999046325684,23.0,,,,,,
asadfsahfskdjfhkajdsfkdsfhshf,2531,464.0,3.5999999046325684,23.0,,,,,,
The Dark saldfjas,2008,,,,,,,,150000000,185000000
asdfasf,2008,,,,,,,,150000000,185000000
abcd,2008,,,,,654654654,,,,
